@relation opinion
@attribute sentence string
@attribute category {positive,negative,neutral,objective}
@attribute numberOfPositiveWords integer
@attribute numberOfNegativeWords integer
@attribute numberOfNeutralWords integer
@data
' white arrows play earl october 9th family year cassettes. dont this. ',objective,1,0,0
' volunteering 4 obama campaign am! keep waitin 4 #olivia yelling "super tuesday coming people!" @kerrywashington ',positive,0,0,0
' anonymous wikileaks project tyler launch december: hacker, claims member hackin... ',objective,0,0,0
' going 3mph: womans walk ... chautauqua community house mon, nov 12 ',objective,0,0,0
' @sue_bryce hey sue. excited wppi tomorrow. coming don canada love buy drink. @catg_photo ',positive,2,0,0
' tygas careless moving spots no. 48 8,300. headed 10th week, ymcb rappers lp sold 199,400 records. ',objective,1,1,0
' ym shit now. finished listening human being. going pink friday. this, hello careless world. ',neutral,0,1,0
' oct 9 1888 washington monument officially opened general public. visit? ',objective,0,0,0
' today: sefton @aldercc 12noon - including presidents day; 2nd xi @newtoncricket 12.45pm. hope forecasts wrong! ',objective,1,0,0
' @mw55 expect thursday? going pull mikey magic duels day again? #hopeso ',neutral,1,0,0
' @swamy39 proved better scriptwriter shazia ilmi. #ramdev will fast move ramlila permission till 30 aug ',positive,2,0,2
' @rockstargames bring gta3/vice city 10th anniversaries ps vita! ',neutral,0,0,0
' embracing oversized sun glass glasses. awesome to. feel jackie o:) ',positive,1,1,1
' lemon tea&lemonade. coke &pepsi 2nd favorites. unhealthy are, cant/wont drinking them,theyre good ',positive,1,1,0
' francesco totti thinks roma will unable catch juventus & #seriea side aim 3rd season ',negative,1,1,0
' day left iqaluit. ottawa tomorrow ',neutral,0,0,0
' watched wiggles 1st time. embarrassed men & remembered filthy rich. #parenting ',negative,0,1,0
' sat watching degrassi realisation things will aired while. ',neutral,1,0,0
' knicks heat msg tomorrow! gonna tough this!! #knickstape #gonewyork ',positive,0,0,0
' madison dont wipe black lines !! "its ash wednesday, dont wipe shit off." ',negative,0,1,0
' missed today national margarita day?!?!? kinda doesnt ash wednesday..... ',negative,0,0,0
' @michael5sos coming nz tonight tomorrow morning?? waaa confused ): ',negative,0,1,0
' miami heat going demolish york knicks tomorrow. york. knicks!! ',positive,0,1,0
' sarah g. day pa rin talaga? huwow! ilang araw ba? ;) ',positive,0,0,0
' blessed heart bends, will broken--- lucas scott good pre-bedtime oth busy day! cant wait tomorrow #zzzz ',positive,3,1,0
' freestyle wednesday - #np big l, jay z, mos def, black thought, eminem, yelawolf... love ',positive,1,1,1
' winter storm watch portions wdbj7 viewing area 8:00pm tuesday. ',neutral,0,1,0
' india: auto production fy13 6% growth: cmie - mumbai: automobile production, a... ',positive,0,0,0
' ghana 30,000 #bvr kits register 12.5-13million three months. kenya will 15,000 #bvr kits register 18million month! ',negative,1,0,0
' katie price haye / chisora fight-now going @ olympic boxing training venue saturday - sparring!! ',objective,0,0,1
' @leonelwell check @mrdavidhaye timeline mate, well find gym. vitali steps ',neutral,1,0,0
' "@xochilihcox cmon leo endymion....... amsterdam likes amsterdam." songs shit compared ',negative,0,0,0
' gowns ready girls, q4 update tomorrow! @beckybull_x @emmaharv ',objective,1,0,0
' chill. cant wait unleash aggression black dahlia murder tomorrow. #gonnaendalife ',negative,0,4,0
' @isawn_furlan pretty reckless, chemical romance, day remember, 30 seconds mars, hey monday, evanescence, mcfly .. ',objective,1,0,0
' sun presidents day! today will good day, perfect finish cricket season. ',positive,3,0,0
' rita oras xfactor sunday shell sing shine ya light love happy!:-) ',positive,3,0,0
' richie hawtin - monday night - buffalo town ballroom - dont it! ',positive,0,0,0
' future: metafest, royal teeth, m83, white arrows, grouplove, sweetteapumpkinpie music fest sunday. ',objective,1,0,0
' dr jan radio 2ue tonight david oldfield kevin rudds sad loss family cat. pets deserve honouring cos love unconditionally. ',negative,2,2,0
' real test #bayern weekend form bayer leverkusen. win sunday will long 15 win streak. ',positive,2,1,0
' watched 1st elimination chamber match idea hour long till ended. ',neutral,0,2,1
' bought tickets sacramento kings season opener monday! hyped. ',objective,0,0,0
' rondo glad all-star game isnt hosted dc galaxy foams on. ',positive,1,1,0
' ill bid adidas predator tomorrow godwilling... ',objective,0,1,0
' canceling york city marathon? runners disaster relief personnel? ',positive,1,1,0
' lol time eu team eu tournament ',positive,0,0,0
' help smart peeps: city alsip, city friday night. cheapest go? (its wedding) ',neutral,2,0,0
' trade presidents day columbus day day super bowl july 5th please. ',positive,1,0,0
' @geoffstults september 5th, finder reaches italian tv (with worst title translation ever). finally!!! :d #finder #risolutore #sky ',positive,0,1,0
' procter psat homie @kimaniah tomorrow!!! three years partner lol ',positive,0,0,0
' anonymous wikileaks: interested transparent govts & bringing info hide public. ',positive,1,0,1
' bayern munich goalkeeper manuel neuer play midfield bayer leverkusen: bayern munich have... ',neutral,0,0,0
' porto amazing sun sets... ',positive,1,0,0
' heat knicks round playoffs tomorrow!!! #lebron#wade better bring it!!! ',positive,1,0,0
' @alfredoflores follow @amandawanxo , november 26, find bell center meet her. please? <31 ',neutral,0,0,0
' finished watching nandito ako 2nd time @davidarchie wait david archuleta ',neutral,0,0,0
' happy birthday coolest golfer bali! @tjvictoriacnd !! :) cooler cooler everyday! stay humble sister! xx ',positive,2,0,0
' watched unofficially richard mark morcella, partner jaja abastillas ',neutral,0,0,0
' appearing houston livestock rodeo march? is, george strait?... ',neutral,0,0,0
' love dance hope supporting event. saturday. info flyer! ',positive,3,0,0
' *raises hand*rt @ny_sexylady: "tomorrow" winans heart heavy morning... wonder hear it! ',neutral,2,0,0
' november 3rd-norfolk, va-norva theatre (nas only)november 4th-washington,dc - dar constitution hall......for concert seekers ! ',neutral,0,0,0
' @kiranks justified mumbai polices incompetency aug 11 supported delhi polices action ramlila...!! ',neutral,0,0,0
' @kinagrannis birthday cakes! jelly beans! wonder kind birthday cake 2nd was? goodnight kina, emi, misa. ',neutral,2,0,0
' number thing holding somalia . . . . pic.twitter.com/bo9chchg ',negative,0,0,0
' knicks nets game moved 26th damn ',negative,0,2,0
' proof psni pack republican lapdogs! disgraceful harassment @williefrazer ',negative,0,2,0
' talk history valentine day: february 14, united states places the... ',neutral,0,0,0
' ash wednesday lyric~ shouts east god better better it, well better this... ',positive,4,0,0
' cant cold coming back. stress sugar killing immune system. ',negative,0,2,1
' mncim, rain stopped saturdays game wasted time waitse! ss4 playing better tonight. ',negative,1,1,0
' reactions stories "benefit scroungers" "lazy poor" sun, wonder murdoch latter-day pavlov ',neutral,1,0,1
' kinda sucks, missed classes graduation ',negative,0,0,0
' loadsa international promo today! tvs europe,asia,down under! fun ! chill, #letmeout ',positive,1,0,0
' aug 30! toads place, haven ct. myself, m.a.r., jitta track, danimal lector more! ',neutral,1,0,0
' going babaman vidia cesena, italy - dec 22 ',objective,0,0,0
' valentine day cancelled..what? why? how? asking. simple math.. 14-2-12 =0 ',negative,1,0,0
' guys ready riri 7th album .... november 19 :) #rihannanavy @rihanna rihan ',positive,1,0,0
' brook lopez double double 3rd #netsnation ',objective,1,0,0
' cant wait heat game tomorrow; heat knicks! ',positive,0,1,0
' 6 top 15, abc 2nd 5, third 4. ten sbs rate 0. ',objective,1,0,0
' @ncleanne chances #wolfsden monday? day country music peeps!!! ',positive,0,0,0
' time heard ss 6th grade loved it. didnt song time continue listen ',positive,0,0,0
' donation today support president obama. afford 10 bucks. you? ',positive,2,0,0
' war 3 going house monday. long things last? ',negative,0,2,0
' greatest nights life carmelo anthony winked & acknowledged sat 2 rows knicks game! #ca7 ',positive,1,0,0
' aishwaryas french honour: big b: mumbai, nov 2 (ians) megastar amitabh bachchan ... ',positive,0,0,1
' short hair back! check out. (clockwise) alicia k, riri, miley twiggy 1st skinny model. #pi ',objective,0,0,0
' lack communication #nycdoe frustrating reporting time work tomorrow. #uft @gothamschools info ',negative,0,2,0
' ***thursday night friday night dinner special*** salmon & jumbo shrimp 15.95 fish (porgie) 1.5lb lemon... ',objective,0,0,0
' aesop rock, master ace & doom, nas, flatbush zombies, jon connor, & cyhi ready flight tomorrow, sleepin lots shit ',neutral,2,0,0
' intermission fc big step title hard fought 1-0 win fellow table toppers real ajax monday night. ',positive,1,1,1
' tomorrow good day listen lamb god. hahahaha. ',positive,1,0,0
' fuck...i forgot nets opener moved sunday gotta dad...i drive find fast... #rushingflow ',negative,1,0,0
' @jodiianto lmaooo def ajax. guess ill ya december :) ',positive,0,1,0
' astrology blasphemous concept some, absolute epitome sign. detail. ',positive,1,1,1
' "senran kagura ps vita advanced breast physics system complete costume destruction comparing 3ds counterpart". ',positive,1,1,1
' forgot plies moon tomorrow ',neutral,0,1,0
' diet starts tomorrow..too bad jam packed busy gym ',negative,0,3,0
' election corner, rrfp pleased super tuesday! additional 5%... ',positive,2,0,0
' @boxnationtv - watched klitschko fight sat. @bigdaddybunce ruined talking ring entrances & talking shit throughout. ',negative,0,1,0
' yayyy tomorrow moving day! :) #cantwait #movingon #startnew #opps #onlyto #davison ',positive,1,0,0
' family pictures saturday 4 favorite girls! hannah, katie , shan tam! cant wait! life cant better! ',positive,1,0,0
' presidents day white house thursday. barack obama hosts george w. bush unveiling portrait. george h.w. bush too. ',neutral,1,0,0
' sweat suits! november time lax! practice tonight, game @drexelclublax tomorrow. #fallball ',positive,0,1,0
' aged 26 keen foreign correspondent? apply marie colvin scholarship ',neutral,1,0,0
' @chewbekahh love life returned :) heath slater rough day tanning place! ',negative,1,1,0
' going club bodi tomorrow ',objective,0,0,0
' cant wait carrie underwood 27th ',positive,0,0,0
' .@barackobamas broken promises hurt americas small businesses. cant afford 4 years last. ',positive,1,1,0
' #tamilnadu bear power crisis: jayalalithaa: chief minister jayalalithaa wednesday asked the... ',neutral,1,0,1
' manuel charr confident ahead saturday clash vs. vitali klitschko: charr didnt scared stared... ',positive,1,2,0
' golf sunday @thepudseybear @paulslim84 @jimboflynn9 going sided klitschko @mrdavidhaye ',neutral,0,0,0
' march 3rd 2010 -do kevin rudd superficial? 85.3%(6513 votes) 14.7%(1122 votes) rudd revealed failure #auspol ',negative,0,1,0
' banana walnut pancakes side @brooklyncured sausages. slide counter soda fountain sunday brunch. enjoy! ',positive,0,0,0
' pastor winans will cool wit tomorrow winans fav gospel songs! nippy right! ',positive,1,0,0
' big fan holidays involve partying: st. patricks, 4th july, halloween, presidents day, etc. ',positive,0,0,1
' centre social justice report gangs - year riots. #d policy exacerbated problems. ',negative,1,0,0
' @paul_wongjh bro confirm going jlin tomorrow ? ',neutral,0,0,0
' wow toowoomba tomorrow stan walker!!:) good ',positive,2,0,0
' @amvanimere going pack ad tomorrow edmonton? ',objective,0,0,0
' deca meeting tomorrow media center 7:30am. lot stuff talk breakfast will provided! ',neutral,1,0,0
' havent worn makeup ash wed. ;o <3 dont . ',negative,0,1,0
' good luck scouser & klitschko destroyer @davidprice_1 tonight echo @audley_harrison - 12th career ko tonight ',positive,2,1,0
' nov 2nd, mumbai intl airport @beingpiper . leaving india 2 hours. mixed bag feelings. #timeflies #bittersweet ',neutral,0,0,0
' wow. marcos vp martial law, enrile 2nd powerful man philippines then. ',positive,1,0,0
' #snl november hosts announced: louis ck musical guest fun, anne hathaway rihanna, jeremy renner maroon 5: ',positive,0,0,0
' shaquille oneal all-star comedy jam @ dar constitution hall sat. 8pm nov 3, 2012 washington dc.. will great show!! ',positive,2,2,0
' support: excited stan walker & advocates running kids sun-herald city2surf soon!... ',positive,1,0,0
' thinking neighbors dont work tomorrow. so, cool turn judas priest rock night, yeah? ',positive,0,0,1
' going richie hawtin gasworks amsterdam, netherlands - oct 19 ',objective,0,0,0
' sunday times launches marie colvin scholarship, seeking future foreign correspondents, 26. deadline sept 30: ',objective,0,0,0
' music sun, girl me, good girl bad, rated r, loud, talk talk finally _________? ',neutral,1,0,1
' nike 10x better adidas going adidas employee store tomorrow ',positive,1,0,0
' annie hasnt finished high water marks ash @1901 bayford oyster #sandy pic.twitter.com/uir5neu6 ',objective,0,0,1
' 2 days #fuckuover 20th played song ipod. 400 plays beats beautiful ',objective,1,0,0
' early hours hopefully great racing san fran #americascup series. watch fri 0930 ss4... ',positive,2,0,0
' sodden 6 hours bike, wore mud shoulder farm roads, beats hot tub. ',positive,1,0,0
' listening muse crazy till them, straight evanescence november 4th, sounds good ',positive,2,1,0
' friday soltek residents daffadam medlam stage plan - london panels 1st birthday.... ',objective,0,0,0
' europe aa prices firm asian supply, q4 - buyers: london (icis)--buyers european a... #icis ',objective,0,0,1
' mix going kyle jackie tomorrow morning :) ',neutral,0,0,0
' ready... you?? #halloween @marvel ',positive,0,0,0
' senior ads quotes yearbook tomorrow! ',neutral,0,0,0
' vans thursday friday game ',neutral,0,1,0
' hate twitter awesome costumes halloween live country people dont celebrate it. ',neutral,3,1,0
' wanna win tickets ghost inside! d; ',objective,0,0,0
' massive window january, wrong massive risk ruining likes sterling wisdom, blooding progressively ',negative,0,2,2
' rudd rains abbotts parade: kevin rudd spoil julia gillards party yesterday gate-cra... ',negative,0,1,0
